ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
80;2021-02-02 23:41:31;12;0.620192289352417;121027;(81,); 0.0001; 0.5; relu; l2; adam
81;2021-02-02 23:42:12;11;0.6493750214576721;481081;(322,); 0.01; 0.05; relu; l2; adam
82;2021-02-03 01:07:25;8;0.6159615516662598;481081;(322,); 0.01; 0.1; relu; l2; adam
83;2021-02-03 03:48:29;15;0.6340384483337402;481081;(322,); 0.01; 0.2; relu; l2; adam
84;2021-02-03 03:49:24;16;0.5869711637496948;481081;(322,); 0.01; 0.5; relu; l2; adam
85;2021-02-03 03:50:15;15;0.7550961375236511;481081;(322,); 0.005; 0.05; relu; l2; adam
86;2021-02-03 03:50:47;10;0.7384615540504456;481081;(322,); 0.005; 0.1; relu; l2; adam
87;2021-02-03 04:27:20;15;0.7453365325927734;481081;(322,); 0.005; 0.2; relu; l2; adam
88;2021-02-03 05:56:37;22;0.6985576748847961;481081;(322,); 0.005; 0.5; relu; l2; adam
89;2021-02-03 05:57:43;20;0.7809615135192871;481081;(322,); 0.001; 0.05; relu; l2; adam
90;2021-02-03 05:58:48;20;0.7833173274993896;481081;(322,); 0.001; 0.1; relu; l2; adam
91;2021-02-03 06:00:17;28;0.7839422821998596;481081;(322,); 0.001; 0.2; relu; l2; adam
92;2021-02-03 06:02:23;39;0.7614423036575317;481081;(322,); 0.001; 0.5; relu; l2; adam
93;2021-02-03 06:04:05;31;0.7861538529396057;481081;(322,); 0.0005; 0.05; relu; l2; adam
94;2021-02-03 06:05:10;20;0.776394248008728;481081;(322,); 0.0005; 0.1; relu; l2; adam
95;2021-02-03 06:24:12;38;0.7837499976158142;481081;(322,); 0.0005; 0.2; relu; l2; adam
96;2021-02-03 06:25:43;28;0.7432692050933838;481081;(322,); 0.0005; 0.5; relu; l2; adam
97;2021-02-03 06:31:33;38;0.7577884793281555;481081;(322,); 0.0001; 0.05; relu; l2; adam
98;2021-02-03 06:38:07;48;0.7611057758331299;481081;(322,); 0.0001; 0.1; relu; l2; adam
99;2021-02-03 06:43:28;48;0.7575480937957764;481081;(322,); 0.0001; 0.2; relu; l2; adam
100;2021-02-03 06:46:39;28;0.7089422941207886;481081;(322,); 0.0001; 0.5; relu; l2; adam
101;2021-02-03 06:51:01;13;0.6277403831481934;1924285;(1288,); 0.01; 0.05; relu; l2; adam
102;2021-02-03 06:56:41;16;0.6002404093742371;1924285;(1288,); 0.01; 0.1; relu; l2; adam
103;2021-02-03 07:02:09;18;0.6190865635871887;1924285;(1288,); 0.01; 0.2; relu; l2; adam
104;2021-02-03 07:07:52;19;0.6085577011108398;1924285;(1288,); 0.01; 0.5; relu; l2; adam
105;2021-02-03 07:15:48;31;0.7690865397453308;1924285;(1288,); 0.005; 0.05; relu; l2; adam
106;2021-02-03 07:17:38;11;0.7437019348144531;1924285;(1288,); 0.005; 0.1; relu; l2; adam
107;2021-02-03 07:20:44;19;0.7427884340286255;1924285;(1288,); 0.005; 0.2; relu; l2; adam
108;2021-02-03 07:23:35;17;0.6837019324302673;1924285;(1288,); 0.005; 0.5; relu; l2; adam
109;2021-02-03 07:27:07;20;0.7949519157409668;1924285;(1288,); 0.001; 0.05; relu; l2; adam
110;2021-02-03 07:46:01;21;0.7825000286102295;1924285;(1288,); 0.001; 0.1; relu; l2; adam
111;2021-02-03 07:49:15;20;0.7896634340286255;1924285;(1288,); 0.001; 0.2; relu; l2; adam
112;2021-02-03 07:53:49;16;0.754855751991272;1924285;(1288,); 0.001; 0.5; relu; l2; adam
113;2021-02-03 07:58:13;20;0.795769214630127;1924285;(1288,); 0.0005; 0.05; relu; l2; adam
114;2021-02-03 08:02:29;20;0.7865384817123413;1924285;(1288,); 0.0005; 0.1; relu; l2; adam
115;2021-02-03 08:06:14;21;0.7806249856948853;1924285;(1288,); 0.0005; 0.2; relu; l2; adam
116;2021-02-03 08:11:15;30;0.7674999833106995;1924285;(1288,); 0.0005; 0.5; relu; l2; adam
